CIO Name,Date RR apps closed,Year,Semester,"Round
(RRX)",CIO Category,Amount Requested,Amount Approved,Amount Allocated,Approval Rate,Allocation Rate,Uncategorized Requested,Uncategorized Approved,Renewable Alternatives Requested,Renewable Alternatives Approved,Food: $150/Sem Requested,Food $150/Sem Approved,Food: Essential Requested,Food: Essential Approved,Guest Speakers Honoraria Requested,Guest Speakers Honoraria Approved,Publicity & Advertising Requested,Publicity & Advertising Approved,Services/Entry Fees/Printing Requested,Services/Entry Fees/Printing Approved,Subscriptions Requested,Subscriptions Approved,Lodging Requested,Lodging Approved,Gas Requested,Gas Approved,Rental Car Requested,Rental Car Approved,Bus Requested,Bus Approved,Train Requested,Train Approved,Airfare Requested,Airfare Approved,Public Transportation Requested,Public Transportation Approved,Approved vs Allocated Difference Requested,Approved vs Allocated Difference Approved,NOT FUNDABLE: Misc Expenses Requested,NOT FUNDABLE: Misc Expenses Approved,Fundable: Other Requested,Fundable: Other Approved
Aerial Dance Club at The University of Virginia,8/30/2024,2024,Summer,RR1,Visual & Performing Arts,$467.00 ,$467.00 ,$326.90 ,100.00%,70.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,197.00,197.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.00,270.00
Black Economic Empowerment Society at UVA,8/30/2024,2024,Summer,RR1,Academic & Professional,"$6,933.98 ","$1,712.89 ","$1,115.23 ",24.70%,16.08%,0.00,0.00,0.00,0.00,708.04,150.00,"2,134.00",0.00,0.00,0.00,208.65,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,259.45",0.00,"1,623.84","1,462.89"
Black Student Alliance,8/30/2024,2024,Summer,RR1,Multicultural,"$6,707.79 ","$2,397.35 ","$1,506.04 ",35.74%,22.45%,0.00,0.00,0.00,0.00,"3,781.63",150.00,"2,097.68","2,097.68",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,658.82,0.00,169.66,149.67
Bullet Journal Club,8/30/2024,2024,Summer,RR1,Social & Hobby,$896.53 ,$203.95 ,$142.77 ,22.75%,15.92%,0.00,0.00,0.00,0.00,179.90,150.00,0.00,0.00,0.00,0.00,9.99,9.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,662.70,0.00,43.94,43.94
Business Ethics at Darden,8/30/2024,2024,Summer,RR1,Academic & Professional,"$1,000.00 ","$1,000.00 ",$675.00 ,100.00%,67.50%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,000.00","1,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Caboose Ultimate,8/30/2024,2024,Summer,RR1,Club Sport,$777.20 ,$777.20 ,$530.18 ,100.00%,68.22%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,550.00,550.00,0.00,0.00,0.00,0.00,227.20,227.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CE+,8/30/2024,2024,Summer,RR1,Academic & Professional,$0.00 ,$0.00 ,$0.00 ,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chak De C'ville,8/30/2024,2024,Summer,RR1,"Multicultural,Visual & Performing Arts","$3,300.00 ","$3,300.00 ","$1,987.50 ",100.00%,60.23%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,300.00","3,300.00"
Club Powerlifting at UVA,8/30/2024,2024,Summer,RR1,Club Sport,$470.00 ,$470.00 ,$329.00 ,100.00%,70.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350.00,350.00,120.00,120.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Comics and Animation INternational Exploration,8/30/2024,2024,Summer,RR1,"Media & Publications,Multicultural,Social & Hobby,Visual & Performing Arts",$155.93 ,$82.96 ,$58.07 ,53.20%,37.24%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.97,0.00,82.96,82.96
Darden African Business Organization,8/30/2024,2024,Summer,RR1,Academic & Professional,"$25,000.00 ",$0.00 ,$0.00 ,0.00%,0.00%,0.00,0.00,0.00,0.00,"15,000.00",0.00,0.00,0.00,500.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,"1,400.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,000.00",0.00,0.00,0.00,0.00,0.00,"1,000.00",0.00
Darden Dance Club,8/30/2024,2024,Summer,RR1,"Multicultural,Social & Hobby,Visual & Performing Arts","$4,270.23 ",$874.38 ,$593.35 ,20.48%,13.89%,0.00,0.00,0.00,0.00,750.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,383.29",637.40,136.94,86.99
Darden Golf Club,8/30/2024,2024,Summer,RR1,Club Sport,"$10,200.00 ","$3,200.00 ","$1,937.50 ",31.37%,19.00%,"10,200.00","3,200.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ektaal A Cappella ,8/30/2024,2024,Summer,RR1,Multicultural,"$1,100.00 ",$900.00 ,$610.00 ,81.82%,55.45%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,100.00",900.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fencing Club at the University of Virginia,8/30/2024,2024,Summer,RR1,Club Sport,$348.05 ,$0.00 ,$0.00 ,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,348.05,348.05
First Year Players,8/30/2024,2024,Summer,RR1,Visual & Performing Arts,"$2,748.75 ",$0.00 ,$0.00 ,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,748.75","2,748.75"
